ID_ZLECENIA_PALONA;DTZAPIS;ILOSC_PALONA;NUMERZASYPU;IDZLECENIE;NUMERPIECA;Anulowany;Zagubiona;SUMA_ZIELONEJ;QuantityError;PREV_ILOSC_PALONA;Posted;ZbiornikKawyPalonej;LockedByEditor;dtLastEdited;ExternalErrorCleaner;READJUSTED_BY;TruckNo1;TruckNo2;dtRoastingStart;dtRoastingFinish;ikWh_counter_start;ikWh_counter_finish;im3_counter_start;im3_counter_finish;ikWh_multiplier;im3_multiplier;ikWh_unit_name;im3_unit_name;ikWh_consumption;im3_consumption;ikWh_counter1_start;ikWh_counter1_finish;ikWh_multiplier1;ikWh_unit_name1;ikWh_consumption1;ikWh_total_consumption;lTriggerCounter
1206760;2024-01-10 03:40:55.230;348;8;138618;3000;0;NULL;401,7;0;348;1;650;NULL;2024-01-10 04:05:49.750;NULL;NULL;3;NULL;2024-01-10 03:48:49.190;2024-01-10 03:56:34.380;1115148;1115166;502263;502271;1;1;kWh;m3;18;8;NULL;NULL;NULL;NULL;NULL;18;258
1206759;2024-01-10 03:34:15.020;517,2;8;138619;4000;0;NULL;599,7;0;517,2;1;652;NULL;2024-01-10 04:03:50.083;NULL;NULL;NULL;NULL;2024-01-10 03:49:57.787;2024-01-10 03:57:54.283;3858363;3858374;15117802;15119053;1;1;kWh;m3;11;1251;10915361;10915499;0,01;kWh;1,38;12,38;2028
1206758;2024-01-10 03:32:36.427;347,7;7;138618;3000;0;NULL;401,8;0;347,7;1;650;NULL;2024-01-10 03:56:50.430;NULL;NULL;3;NULL;2024-01-10 03:40:25.360;2024-01-10 03:47:48.353;1115128;1115145;502254;502262;1;1;kWh;m3;17;8;NULL;NULL;NULL;NULL;NULL;17;256
1206757;2024-01-10 03:25:38.133;517,3;7;138619;4000;0;NULL;599,7;0;517,3;1;652;NULL;2024-01-10 03:54:49.773;NULL;NULL;NULL;NULL;2024-01-10 03:41:27.027;2024-01-10 03:49:25.510;3858350;3858361;15116549;15117802;1;1;kWh;m3;11;1253;10915202;10915346;0,01;kWh;1,44;12,44;2027
1206756;2024-01-10 03:23:50.053;348,8;6;138618;3000;0;NULL;402,9;0;349;0;649;NULL;2024-01-10 03:47:54.900;NULL;NULL;5;NULL;2024-01-10 03:31:57.067;2024-01-10 03:39:01.400;1115108;1115125;502245;502253;1;1;kWh;m3;17;8;NULL;NULL;NULL;NULL;NULL;17;254
1206755;2024-01-10 03:16:35.170;518,5;6;138619;4000;0;NULL;599,7;0;518,5;1;651;NULL;2024-01-10 03:45:50.650;NULL;NULL;NULL;NULL;2024-01-10 03:32:53.787;2024-01-10 03:40:57.150;3858338;3858350;15115300;15116549;1;1;kWh;m3;12;1249;10914919;10915195;0,01;kWh;2,76;14,76;2026
1206754;2024-01-10 03:14:26.140;348,7;5;138618;3000;0;NULL;402,5;0;349;0;649;NULL;2024-01-10 03:39:59.747;NULL;NULL;5;NULL;2024-01-10 03:23:04.663;2024-01-10 03:30:46.000;1115087;1115106;502235;502244;1;1;kWh;m3;19;9;NULL;NULL;NULL;NULL;NULL;19;252
1206753;2024-01-10 03:07:56.363;517,9;5;138619;4000;0;NULL;599,7;0;517,9;0;651;NULL;2024-01-10 03:37:14.910;NULL;NULL;NULL;NULL;2024-01-10 03:24:32.587;2024-01-10 03:32:05.933;3858327;3858337;15114048;15115300;1;1;kWh;m3;10;1252;10914780;10914913;0,01;kWh;1,33;11,33;2025
1206752;2024-01-10 03:04:30.150;346;4;138618;3000;0;NULL;400,9;0;345,8;0;650;NULL;2024-01-10 03:30:38.540;NULL;NULL;9;NULL;2024-01-10 03:13:58.477;2024-01-10 03:21:30.587;1115067;1115084;502225;502234;1;1;kWh;m3;17;9;NULL;NULL;NULL;NULL;NULL;17;250
1206751;2024-01-10 02:59:26.280;516,4;4;138619;4000;0;NULL;599,6;0;516,4;0;652;NULL;2024-01-10 03:28:55.790;NULL;NULL;NULL;NULL;2024-01-10 03:16:04.293;2024-01-10 03:23:59.983;3858316;3858327;15112796;15114048;1;1;kWh;m3;11;1252;10914636;10914774;0,01;kWh;1,38;12,38;2024
